Global occurance of floods, yearly
Source: https://ourworldindata.org/natural-disasters
Base Period: 1970-2023

Year, Number of floods
1970, 31
1971, 15
1972, 15
1973, 20
1974, 18
1975, 17
1976, 16
1977, 47
1978, 47
1979, 34
1980, 39
1981, 41
1982, 48
1983, 49
1984, 46
1985, 57
1986, 49
1987, 66
1988, 75
1989, 46
1990, 60
1991, 76
1992, 59
1993, 84
1994, 88
1995, 93
1996, 95
1997, 96
1998, 96
1999, 123
2000, 156
2001, 156
2002, 173
2003, 159
2004, 134
2005, 191
2006, 232
2007, 219
2008, 174
2009, 159
2010, 189
2011, 160
2012, 141
2013, 149
2014, 139
2015, 166
2016, 164
2017, 129
2018, 128
2019, 195
2020, 206
2021, 222
2022, 181
2023, 166
